"Name","Version","InstallDate","InstallLocation"
"Paradox Launcher v2","2.1.0","20220817",
"Microsoft Teams Meeting Add-in for Microsoft Office","1.23.33413","20240106",
"Python 3.10.0 Standard Library (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Test Suite (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Utility Scripts (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 pip Bootstrap (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Core Interpreter (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Add to Path (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Tcl/Tk Support (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Documentation (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Executables (64-bit)","3.10.150.0","20211126",
"Python 3.10.0 Development Libraries (64-bit)","3.10.150.0","20211126",
"Office 16 Click-to-Run Extensibility Component","16.0.17029.20000","20231207",
"Office 16 Click-to-Run Localization Component","16.0.14131.20278","20210723",
"Office 16 Click-to-Run Licensing Component","16.0.17029.20068","20231207",
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","4.5.50932","20210717",
"Python 3.7.8 pip Bootstrap (64-bit)","3.7.8150.0","20210717",
"Microsoft .NET Host FX Resolver - 5.0.12 (x86)","40.48.30622","20220511",
"Microsoft Windows Desktop Runtime - 3.1.16 (x86)","24.64.30112","20210718",
"Windows SDK for Windows Store Apps Metadata","10.1.19041.685","20210718",
"windows_toolscorepkg","16.10.31306","20210718",
"Windows Desktop Extension SDK Contracts","10.1.19041.685","20210718",
"MSI Development Tools","10.1.19041.685","20210718",
"Microsoft System CLR Types for SQL Server 2019 CTP2.2","15.0.1200.24","20210717",
"Microsoft ASP.NET Core Module V2 for IIS Express","13.1.20087.0","20210717",
"Python 3.7.8 Standard Library (64-bit)","3.7.8150.0","20210717",
"Windows SDK for Windows Store Apps","10.1.19041.685","20210718",
"Microsoft .NET Framework 4.5 Multi-Targeting Pack","4.5.50710","20210717",
"Microsoft .NET Toolset 5.0.301 (x64)","20.3.30505","20210718",
"WinRT Intellisense UAP - en-us","10.1.19041.685","20210718",
"Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30038","14.29.30038","20210717",
"Microsoft .NET CoreRuntime For CoreCon","1.0.0.0","20210718",
"sptools_Microsoft.VisualStudio.Vsto.Msi.Resources","16.0.28030","20210718",
"Windows SDK Desktop Tools x64","10.1.19041.685","20210718",
" Tools for .Net 3.5 - CSY Lang Pack","3.11.50727","20210718",
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","20221020",
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (čeština)","4.8.03761","20210717",
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","20221020",
"vs_BlendMsi","16.0.28329","20210718",
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","20210717",
"Windows SDK for Windows Store Apps Libs","10.1.19041.685","20210718",
"vs_communitymsi","16.10.31306","20210718",
"Avast Update Helper","1.8.1579.3","20221213",
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","20210717",
"vs_Graphics_Singletonx64","16.10.31213","20210717",
"IntelliTraceProfilerProxy","15.0.18198.01","20210717",
"vs_clickoncebootstrappermsires","16.0.28329","20210718",
"Microsoft System CLR Types for SQL Server 2019 CTP2.2","15.0.1200.24","20210717",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532","14.36.32532","20231021",
"Microsoft Azure Storage Emulator - v5.10","5.10.19227.2113","20210717",
"vs_tipsmsi","16.0.28329","20210717",
"icecap_collectionresources","16.10.31306","20210717",
"Microsoft TestPlatform SDK Local Feed","16.9.0.4315479","20210718",
"Microsoft .NET Targeting Pack - 5.0.0 (x64)","40.0.29419","20210718",
